ELEMENTO		Valor		Fecha de Recoleccion	
--------		-----		--------------------	
PLA_A02			28		01/07/2004 01:00
PLA_A02			28		01/07/2004 02:00
PLA_A02			27		01/07/2004 03:00
PLA_A02			27		01/07/2004 04:00
PLA_A02			26		01/07/2004 05:00
PLA_A02			27		01/07/2004 06:00
PLA_A02			28		01/07/2004 07:00
PLA_A02			46		01/07/2004 09:00
PLA_A02			55		01/07/2004 10:00
PLA_A02			58		01/07/2004 11:00
PLA_A02			59		01/07/2004 12:00
PLA_A02			58		01/07/2004 13:00
PLA_A02			59		01/07/2004 14:00
PLA_A02			61		01/07/2004 15:00
PLA_A02			58		01/07/2004 16:00
PLA_A02			49		01/07/2004 17:00
PLA_A02			44		01/07/2004 18:00
PLA_A02			41		01/07/2004 19:00
PLA_A02			40		01/07/2004 20:00
PLA_A02			37		01/07/2004 21:00
PLA_A02			32		01/07/2004 22:00
PLA_A02			31		01/07/2004 23:00
PLA_A02			30		02/07/2004 00:00
PLA_A02			29		02/07/2004 01:00
PLA_A02			29		02/07/2004 02:00
PLA_A02			28		02/07/2004 03:00
PLA_A02			28		02/07/2004 04:00
PLA_A02			27		02/07/2004 05:00
PLA_A02			27		02/07/2004 06:00
PLA_A02			28		02/07/2004 07:00
PLA_A02			35		02/07/2004 08:00
PLA_A02			48		02/07/2004 09:00
PLA_A02			57		02/07/2004 10:00
PLA_A02			58		02/07/2004 11:00
PLA_A02			58		02/07/2004 12:00
PLA_A02			56		02/07/2004 13:00
PLA_A02			58		02/07/2004 14:00
PLA_A02			57		02/07/2004 15:00
PLA_A02			55		02/07/2004 16:00
PLA_A02			46		02/07/2004 17:00
PLA_A02			41		02/07/2004 18:00
PLA_A02			38		02/07/2004 19:00
PLA_A02			35		02/07/2004 20:00
PLA_A02			32		02/07/2004 21:00
PLA_A02			30		02/07/2004 22:00
PLA_A02			30		02/07/2004 23:00
PLA_A02			30		03/07/2004 00:00
PLA_A02			29		03/07/2004 01:00
PLA_A02			28		03/07/2004 02:00
PLA_A02			28		03/07/2004 03:00
PLA_A02			27		03/07/2004 04:00
PLA_A02			26		03/07/2004 05:00
PLA_A02			26		03/07/2004 06:00
PLA_A02			26		03/07/2004 07:00
PLA_A02			27		03/07/2004 08:00
